,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
761,Brent Urban,13,0,0,0,0,0,2,0,0,0,0,0,0.0,20,9,11,0,0,0,0
762,Kentavius Street,13,0,0,0,0,0,0,0,0,0,0,0,1.0,15,9,6,4,1,0,0
763,Kalia Davis,13,0,1,2,0,2,1,0,0,0,0,0,0.0,12,6,6,0,0,0,0
764,Colby Wooden,13,1,0,0,0,0,2,0,0,0,0,0,0.0,20,9,11,2,2,0,0
765,Khyiris Tonga,13,1,0,0,0,0,0,0,0,0,0,0,0.0,22,6,16,0,0,0,0
766,Jalen Redmond,13,2,0,0,0,0,2,0,0,0,0,0,1.0,18,10,8,6,1,0,0
767,Jordon Riley,13,5,0,0,0,0,0,0,0,0,0,0,0.0,12,7,5,3,1,0,0
768,Devonte Wyatt,14,0,0,0,0,0,0,0,0,2,0,0,5.0,23,17,6,9,9,0,0
769,Eric Watts,14,0,0,0,0,0,0,0,0,0,0,0,0.0,13,7,6,0,0,0,0
770,Leonard Taylor,14,0,0,0,0,0,1,0,0,0,0,0,1.5,24,13,11,4,4,0,0
771,Robert Beal,14,0,0,0,0,0,0,0,0,0,0,0,0.0,17,11,6,0,0,0,0
772,Keondre Coburn,15,1,0,0,0,0,0,0,0,0,0,0,0.0,14,7,7,0,0,0,0
773,Greg Gaines,15,3,0,0,0,0,0,0,0,0,0,0,1.0,17,7,10,2,4,0,0
774,Darrell Taylor,16,0,0,0,0,0,2,2,0,0,0,0,3.0,32,20,12,3,9,0,0
775,Arron Mosby,16,0,0,0,0,0,2,0,0,0,0,0,0.5,12,6,6,1,2,0,0
776,Jalyn Holmes,16,0,0,0,0,0,0,0,0,0,0,0,2.0,18,11,7,6,3,0,0
777,Tyler Davis,16,0,0,0,0,0,0,0,0,0,0,0,0.5,29,12,17,2,1,0,0
778,Solomon Thomas,16,1,0,0,0,0,2,1,0,1,0,0,3.5,26,15,11,5,6,0,0
779,Sam Okuayinonu,16,3,0,0,0,0,1,1,0,0,0,0,3.0,35,25,10,6,7,0,0
780,Levi Onwuzurike,16,10,0,0,0,0,0,1,0,0,0,0,1.5,28,16,12,1,13,0,0
