Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
daniel ekuale,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,7.333333333333333,5.333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.0,0.0
daniel hardy,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,0.0,0.0
daniel wise,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.5,3.0,0.5,0.5,0.0,0.0
dante fowler,17.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.0,0.0,0.0,0.0,5.0,20.0,15.0,5.0,6.0,8.0,0.0,0.0
dante stills,15.5,9.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4.0,44.5,19.0,25.5,4.5,5.5,0.0,0.0
daquan jones,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,16.0,8.0,8.0,4.0,5.0,0.0,0.0
darius philon,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,27.0,19.0,8.0,5.0,2.0,0.0,0.0
darius robinson,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,6.0,1.0,1.0,0.0,0.0
daron payne,17.0,17.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,53.0,32.0,21.0,13.0,11.0,0.0,0.0
darrell taylor,16.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,32.0,20.0,12.0,3.0,9.0,0.0,0.0
darryl johnson,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.5,0.5,0.0,0.0,0.0
david bada,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
david moa,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,1.0,0.0,0.0,0.0,0.0
david onyemata,14.0,14.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,50.0,25.0,25.0,6.0,16.0,0.0,0.0
daviyon nixon,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,7.5,2.0,5.5,0.0,1.0,0.0,0.0
davon godchaux,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,24.0,32.0,2.0,1.0,0.0,0.0
davon hamilton,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,1.0,0.0,0.0,0.0
dawuane smoot,13.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.0,3.25,18.5,13.0,5.5,5.5,8.0,0.0,0.0
dayo odeyingbo,14.666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.0,4.5,25.0,15.0,10.0,4.666666666666667,9.666666666666666,0.0,0.0
deadrin senat,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,10.0,7.0,2.0,2.0,0.0,0.0
dean lowry,10.5,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,9.5,2.5,7.0,0.0,0.5,0.0,0.0
deatrich wise jr,15.5,9.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,4.75,41.5,19.0,22.5,4.0,7.0,0.0,0.0
deforest buckner,15.333333333333334,14.333333333333334,0.0,0.0,0.0,0.0,3.6666666666666665,1.3333333333333333,0.0,0.6666666666666666,8.666666666666666,0.3333333333333333,7.5,72.0,37.666666666666664,34.333333333333336,10.0,19.0,0.0,2.0
demarcus lawrence,10.5,10.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.5,32.0,18.0,14.0,7.0,6.5,0.0,3.0
demarcus walker,15.666666666666666,6.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4.166666666666667,31.0,20.333333333333332,10.666666666666666,7.666666666666667,13.0,0.0,0.0
demarvin leal,9.333333333333334,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,11.0,6.666666666666667,4.333333333333333,1.0,1.0,0.0,0.0
demone harris,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.0,5.5,0.5,1.0,0.0,0.0
denico autry,11.0,5.0,0.0,0.0,0.0,0.0,3.5,1.0,0.0,0.0,0.0,0.0,5.5,20.0,12.5,7.5,5.5,12.5,0.0,0.0
derek barnett,15.0,2.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,32.0,1.0,3.75,24.0,13.5,10.5,6.5,9.0,0.0,0.0
derek rivers,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,2.0,2.0,1.0,0.0,0.0
derick roberson,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,11.0,6.0,5.0,3.0,4.0,0.0,0.0
derrek tuszka,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,9.0,9.0,1.0,2.0,0.0,0.0
derrick brown,9.0,9.0,0.5,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,29.0,24.0,3.5,7.5,0.0,3.0
derrick nnadi,17.0,9.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,20.0,9.5,10.5,0.5,0.5,0.0,0.0
deshawn williams,14.0,5.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,24.5,10.5,14.0,1.0,5.5,0.0,0.0
desjuan johnson,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,10.5,4.5,6.0,1.5,1.5,0.0,0.0
devonte wyatt,15.666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,4.0,24.666666666666668,14.333333333333334,10.333333333333334,5.0,7.666666666666667,0.0,0.0
dewayne carter,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,3.0,5.0,3.0,0.0,0.0
dexter lawrence,16.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.5,53.0,32.0,21.0,7.0,21.0,0.0,13.0
dj coleman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
dj davidson,10.666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.8333333333333334,13.333333333333334,6.666666666666667,6.666666666666667,1.0,1.0,0.0,0.0
dj jones,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,14.0,0.0,2.0,46.0,30.0,16.0,5.0,4.0,0.0,0.0
dj reader,14.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,20.0,14.0,2.0,7.0,0.0,0.0
domenique davis,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
dominique robinson,8.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,9.5,4.5,5.0,0.5,1.0,0.0,0.0
donovan jeter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
dorance armstrong jr,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.5,38.0,20.0,18.0,7.0,12.0,0.0,0.0
doug costin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
drake jackson,11.5,0.0,0.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,3.0,10.5,6.0,4.5,2.5,4.5,0.0,0.0
